Audio Path,Segment Index,Plate Thickness,Electrode,Type of Current,Split
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,0,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,1,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,2,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,3,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,4,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,5,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,6,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,7,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,8,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,9,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,10,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,11,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,12,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,13,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,14,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,15,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,16,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,17,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,18,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,19,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,20,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,21,Placa_12mm,E6010,DC,blind
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,22,Placa_12mm,E6010,DC,blind
