audio_path,sesion,segment_index,placa,electrodo,corriente,true_plate,true_electrode,true_current,pred_plate,pred_electrode,pred_current
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,0,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,1,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,2,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,3,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,4,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,5,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,6,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,7,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,8,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,9,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,10,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,11,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,12,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,13,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,14,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,15,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,16,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,17,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,18,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132741_Audio/240902-132741_6013-2.wav,240902-132741_Audio,19,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,0,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,1,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,2,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,3,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,4,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,5,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,6,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,7,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,8,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,9,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,10,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,11,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,12,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,13,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,14,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,15,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,16,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6013,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,17,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,18,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,19,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,20,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_6mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,21,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,22,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6011,DC
audio/Placa_12mm/E6010/DC/240902-132928_Audio/240902-132928_6013-2.wav,240902-132928_Audio,23,Placa_12mm,E6010,DC,Placa_12mm,E6010,DC,Placa_12mm,E6011,DC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,0,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6013,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,1,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,2,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,3,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,4,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,5,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,6,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,7,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,8,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,9,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,10,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,11,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,12,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,13,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_3mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,14,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,15,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,16,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,17,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,18,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,19,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,20,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,21,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,22,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_6mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,23,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
audio/Placa_12mm/E6011/AC/240909-134918_Audio/240909-134918_6013-2.wav,240909-134918_Audio,24,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC,Placa_12mm,E6011,AC
